"";"age";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"89";89;2119;2151;2148;2248;2288;2429;2586;2538;2751;2649;2938;2848;2985;3138;2996;3222;3299;3465;3469;3625;3589;3650;3758;3623;3500;3546;3628;3552;4119;4217;4098;3792;4043;3669;3496
"90";90;1843;1865;1947;2000;2043;2147;2195;2187;2372;2422;2655;2646;2625;2882;2781;2867;3038;3091;3188;3439;3256;3497;3540;3439;3392;3337;3427;3428;3419;3917;4045;3927;3831;3879;3710
"91";91;1563;1620;1557;1667;1756;1897;1899;1928;2089;2005;2183;2377;2470;2590;2359;2613;2688;2760;2902;2984;3075;3044;3357;3187;3094;3197;3043;3189;3313;3095;3775;3845;3848;3515;3484
"92";92;1254;1255;1413;1495;1436;1624;1626;1679;1829;1862;1844;2023;2044;2187;2159;2233;2433;2465;2446;2722;2713;2922;2885;2822;2835;2886;2983;2955;3023;2888;2987;3501;3626;3622;3194
"93";93;1151;1093;1082;1192;1209;1295;1298;1355;1510;1501;1546;1609;1679;1918;1769;1980;2004;2035;2192;2324;2350;2523;2505;2471;2447;2608;2616;2607;2675;2677;2677;2695;3247;3250;3128
"94";94;875;922;887;927;980;1061;1039;1080;1259;1153;1255;1354;1344;1509;1436;1566;1639;1803;1808;1914;1926;2059;2206;2128;2073;2227;2224;2369;2316;2291;2356;2365;2416;2845;2853
"95";95;693;702;712;691;674;837;812;928;897;881;1030;1024;1107;1196;1093;1247;1305;1321;1405;1495;1533;1618;1782;1692;1775;1838;1891;2015;1904;1968;1979;1993;2138;1953;2392
"96";96;509;528;508;547;556;620;632;665;724;700;761;829;871;914;865;970;1040;1050;1098;1143;1239;1272;1418;1378;1388;1391;1453;1596;1630;1611;1560;1623;1722;1711;1647
"97";97;370;393;383;439;427;463;441;490;580;548;582;578;626;691;662;624;741;837;797;869;958;946;1078;1088;1029;1074;1197;1215;1211;1198;1262;1238;1343;1325;1288
"98";98;248;281;280;277;313;289;333;373;379;377;423;411;451;482;465;500;566;599;573;664;665;692;734;761;780;858;853;916;910;934;947;1015;1058;1018;1060
"99";99;166;183;178;207;192;214;230;224;285;264;281;301;294;329;325;329;362;379;391;440;477;502;515;527;542;562;625;662;662;694;691;760;757;740;724
"100";100;89;97;114;133;134;177;152;164;170;189;175;207;210;248;212;233;234;287;248;306;310;353;346;347;359;377;428;430;479;485;449;489;540;591;513
"101";101;60;61;73;79;94;95;105;113;142;105;137;127;135;161;137;155;179;170;183;178;190;214;233;244;264;259;281;284;306;303;335;333;373;388;387
"102";102;58;36;39;65;58;85;62;58;73;78;69;92;77;95;83;94;111;97;105;123;109;141;139;174;148;176;181;183;205;202;217;224;247;231;243
"103";103;21;17;35;24;22;41;41;43;51;45;40;49;44;48;48;41;73;54;62;86;75;71;92;95;72;104;97;109;120;100;135;120;137;120;167
"104";104;15;15;15;17;30;14;13;12;29;31;27;31;23;28;38;33;33;33;36;44;41;35;41;43;45;46;63;56;53;85;67;79;93;78;91
"105";105;7;3;11;9;8;6;10;12;17;16;13;17;19;10;14;15;19;25;24;26;27;26;21;30;31;25;37;30;37;34;41;37;58;37;52
"106";106;6;7;5;6;6;7;3;12;8;7;6;9;6;10;5;7;10;7;16;15;13;14;15;13;13;12;18;25;20;30;29;11;22;28;23
"107";107;0;3;0;1;1;3;2;2;5;3;4;5;3;5;9;4;4;5;4;5;6;7;11;5;10;7;5;13;16;12;9;10;12;14;12
"108";108;0;1;1;1;1;0;4;4;2;0;5;1;4;2;2;6;3;1;2;8;0;2;1;4;4;6;4;5;3;8;7;4;6;7;5
"109";109;0;0;0;0;1;1;1;0;0;1;1;1;1;2;1;3;4;1;0;1;0;1;4;5;0;1;0;5;2;3;4;2;3;3;3
"110";110;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;3;0;1;0;1;1;2;0;2;1;0;0;1;0;1;0;1;1;1;1
"111";111;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;2;1;1;2;1;2;0;1;0;1;2;0;1;1;0;1;0
